temps(ms),C,alpha,simulations,position,recompenses,,
700,0.44,0.1,1882536,0.877665630193341,140,,
700,0.44,0.1,1882536,1.3492024920179224,70,,
700,0.44,0.1,1899779,1.7125458011536083,170,,
700,0.44,0.1,1894639,0.8314372849844999,140,,
700,0.44,0.1,1894639,0.9290185852377085,140,,
700,0.44,0.1,1894639,0.9940266994952647,140,,
700,0.44,0.1,1882536,0.2041394742206648,140,,
700,0.44,0.1,1882536,1.510491635246583,70,,
700,0.44,0.1,1882536,1.3556659210212447,70,,
700,0.44,0.1,1882536,0.4223182697155615,140,,
700,0.44,0.1,1894639,0.8968983919170977,140,,
700,0.44,0.1,1882536,1.5173578854872574,70,,
700,0.44,0.1,1882536,0.21389346711734358,140,,
700,0.44,0.1,1882536,0.5728059479290701,140,,
700,0.44,0.1,1894639,0.9313672333315806,140,,
700,0.44,0.1,1882536,1.196608612499689,70,,
700,0.44,0.1,1882536,0.7440982387009568,140,,
700,0.44,0.1,1882536,1.3531950586118895,70,,
700,0.44,0.1,1882536,1.5379717870950982,70,,
700,0.44,0.1,1894639,0.9138319235042495,140,,
700,0.44,0.1,1882536,1.3857409602009656,70,,
700,0.44,0.1,1882536,0.9782938889116793,140,,
700,0.44,0.1,1882536,0.7602192753410382,140,,
700,0.44,0.1,1882536,0.4987236511851406,140,,
700,0.44,0.1,1882536,0.8581960030242164,140,,
700,0.44,0.1,1894639,0.4880407148157411,140,,
700,0.44,0.1,1882536,1.0683181427993862,70,,
700,0.44,0.1,1882536,0.97429033119863,140,,
700,0.44,0.1,1894639,0.8760159849720311,140,,
700,0.44,0.1,1882536,1.0635245010836853,70,,
700,0.44,0.1,1882536,0.7336364539955936,140,,
700,0.44,0.1,1882536,0.5770377501175877,140,,
700,0.44,0.1,1894639,0.8793230694683098,140,,
700,0.44,0.1,1882536,0.9935336929447132,140,,
700,0.44,0.1,1882536,0.7509516076573975,140,,
700,0.44,0.1,1882536,1.4462187403364624,70,,
700,0.44,0.1,1882536,1.2569012195569127,70,,
700,0.44,0.1,1899779,1.7288677759421087,170,,
700,0.44,0.1,1882536,1.4588978938208066,70,,
700,0.44,0.1,1882536,0.29833462365577323,140,,
700,0.44,0.1,1882536,0.43144378694816987,140,,
700,0.44,0.1,1882536,0.9971201226687315,140,,
700,0.44,0.1,1894639,0.6704126253684906,140,,
700,0.44,0.1,1882536,1.0097611741239079,70,,
700,0.44,0.1,1894639,0.5594071225197673,140,,
700,0.44,0.1,1894639,0.2595579556365344,140,,
700,0.44,0.1,1882536,0.21420237243547136,140,,
700,0.44,0.1,1894639,0.767580567168895,140,,
700,0.44,0.1,1894639,0.6504323266932421,140,,
700,0.44,0.1,1894639,0.6411731744399264,140,,
700,0.44,0.1,1894639,0.791463478591634,140,,
700,0.44,0.1,1882536,1.0079037145627205,70,,
700,0.44,0.1,1882536,1.5756984653373287,70,,
700,0.44,0.1,1882536,0.6259929069651696,140,,
700,0.44,0.1,1882536,0.7954037867137786,140,,
700,0.44,0.1,1882536,1.5330031619090263,70,,
700,0.44,0.1,1882536,0.7193063917811842,140,,
700,0.44,0.1,1894639,0.9709374875840996,140,,
700,0.44,0.1,1882536,1.1753521158644935,70,,
700,0.44,0.1,1882536,1.5799161102252364,70,,
700,0.44,0.1,1894639,0.855894516746559,140,,
700,0.44,0.1,1882536,1.344715734251293,70,,
700,0.44,0.1,1882536,1.4155837485373806,70,,
700,0.44,0.1,1894639,0.6896712860821236,140,,
700,0.44,0.1,1882536,1.7641077413347,170,,
700,0.44,0.1,1882536,1.2634601676473172,70,,
700,0.44,0.1,1882536,1.5115427300572302,70,,
700,0.44,0.1,1894639,0.8552761465209332,140,,
700,0.44,0.1,1894639,0.6771346718425043,140,,
700,0.44,0.1,1882536,0.9004653690713313,140,,
700,0.44,0.1,1882536,1.606256706479283,70,,
700,0.44,0.1,1899779,1.8211038228359064,170,,
700,0.44,0.1,1882536,1.4056395103599473,70,,
700,0.44,0.1,1882536,0.6581555956662634,140,,
700,0.44,0.1,1882536,0.6290068144965443,140,,
700,0.44,0.1,1894639,0.6966538553588671,140,,
700,0.44,0.1,1899779,1.8160226353109332,170,,
700,0.44,0.1,1882536,0.925506091693747,140,,
700,0.44,0.1,1882536,1.6812013144333187,70,,
700,0.44,0.1,1882536,1.094680521352716,70,,
700,0.44,0.1,1882536,1.8638459331444885,170,,
700,0.44,0.1,1899779,1.8474627104507526,170,,
700,0.44,0.1,1882536,1.181360718221082,70,,
700,0.44,0.1,1894639,0.8890749029481871,140,,
700,0.44,0.1,1894639,0.7517229633809747,140,,
700,0.44,0.1,1882536,0.49357417148540483,140,,
700,0.44,0.1,1899779,1.9665276964707274,170,,
700,0.44,0.1,1894639,0.9703371610148124,140,,
700,0.44,0.1,1899779,1.7871250283310143,170,,
700,0.44,0.1,1894639,0.9968945639401986,140,,
700,0.44,0.1,1894639,0.8912526762501443,140,,
700,0.44,0.1,1882536,1.142013937807254,70,,
700,0.44,0.1,1882536,0.5808016526841548,140,,
700,0.44,0.1,1882536,0.8549835414064803,140,,
700,0.44,0.1,1882536,0.5829263454142666,140,,
700,0.44,0.1,1894639,0.49075188848568796,140,,
700,0.44,0.1,1894639,0.9683460997788745,140,,
700,0.44,0.1,1899779,1.7647813212649435,170,,
700,0.44,0.1,1894639,0.9595229409749775,140,,
700,0.44,0.1,1882536,1.2107428832084906,70,"1887546,34",122
700,0.44,0.2,253480,1.7010456772457365,170,,
700,0.44,0.2,255725,0.9478478959531539,140,,
700,0.44,0.2,252233,1.4242752269688932,70,,
700,0.44,0.2,259815,0.6151458361199598,140,,
700,0.44,0.2,257098,0.5805742233846314,140,,
700,0.44,0.2,256636,0.6707582665973301,140,,
700,0.44,0.2,253683,1.8104276202706573,170,,
700,0.44,0.2,253227,1.7648005726641278,170,,
700,0.44,0.2,257629,1.7195893405397946,170,,
700,0.44,0.2,256442,0.7288813197536163,140,,
700,0.44,0.2,258558,0.9703851114942542,140,,
700,0.44,0.2,255002,0.786443347514281,140,,
700,0.44,0.2,255724,0.8489702718552408,140,,
700,0.44,0.2,255298,0.7465176355791142,140,,
700,0.44,0.2,254512,1.711863978633003,170,,
700,0.44,0.2,258023,1.7189715368565308,170,,
700,0.44,0.2,258894,0.5931724020471392,140,,
700,0.44,0.2,258632,0.48927474476996125,140,,
700,0.44,0.2,259722,0.681086116395843,140,,
700,0.44,0.2,254415,1.7409838971752225,170,,
700,0.44,0.2,253830,1.7373723711009736,170,,
700,0.44,0.2,259784,0.9878244070771658,140,,
700,0.44,0.2,257904,0.557926895033158,140,,
700,0.44,0.2,256453,0.6854695974419093,140,,
700,0.44,0.2,259311,0.8295926727971484,140,,
700,0.44,0.2,254207,1.8472935166885964,170,,
700,0.44,0.2,256675,0.8757029401331647,140,,
700,0.44,0.2,260178,0.8507264504502743,140,,
700,0.44,0.2,259389,0.6525252204547332,140,,
700,0.44,0.2,250838,1.8380839541367129,170,,
700,0.44,0.2,259165,0.9324911326850124,140,,
700,0.44,0.2,260289,0.7151501866017415,140,,
700,0.44,0.2,258492,0.7617141122975196,140,,
700,0.44,0.2,260274,0.26166202565993224,140,,
700,0.44,0.2,253180,1.7072827765444178,170,,
700,0.44,0.2,259749,0.7737712232308689,140,,
700,0.44,0.2,260081,0.72483862255975,140,,
700,0.44,0.2,257956,0.205109374827102,140,,
700,0.44,0.2,257457,0.9859366847407837,140,,
700,0.44,0.2,257500,0.8880910922147366,140,,
700,0.44,0.2,252654,1.71774517768356,170,,
700,0.44,0.2,259281,0.9394160266075404,140,,
700,0.44,0.2,257735,0.8806420120840058,140,,
700,0.44,0.2,252293,1.7681913791727637,170,,
700,0.44,0.2,258415,0.8767020376150949,140,,
700,0.44,0.2,254204,0.7616638018504673,140,,
700,0.44,0.2,256877,0.8523593592130306,140,,
700,0.44,0.2,258864,0.9323976914560343,140,,
700,0.44,0.2,259779,0.2718376211260617,140,,
700,0.44,0.2,253033,1.8538837706734217,170,,
700,0.44,0.2,252713,1.7177588703904603,170,,
700,0.44,0.2,250233,1.784840843523964,170,,
700,0.44,0.2,257187,0.5061024522242747,140,,
700,0.44,0.2,257030,1.8394409482142793,170,,
700,0.44,0.2,258186,0.6543566456180361,140,,
700,0.44,0.2,256529,0.7828184828559194,140,,
700,0.44,0.2,258879,0.3628835604806795,140,,
700,0.44,0.2,252379,1.8534621949552244,170,,
700,0.44,0.2,257091,0.5784677679674677,140,,
700,0.44,0.2,260546,0.6847106311864379,140,,
700,0.44,0.2,257825,0.5371954982011625,140,,
700,0.44,0.2,256041,0.8031473462159866,140,,
700,0.44,0.2,254596,1.9361124172342106,170,,
700,0.44,0.2,258896,0.36735310198215254,140,,
700,0.44,0.2,249781,0.9423085298889341,140,,
700,0.44,0.2,258205,0.7182339442730564,140,,
700,0.44,0.2,259160,0.521221151741391,140,,
700,0.44,0.2,256737,0.7045383205323892,140,,
700,0.44,0.2,260610,0.48892345334063325,140,,
700,0.44,0.2,255317,1.877483892233637,170,,
700,0.44,0.2,253644,0.6787873385516796,140,,
700,0.44,0.2,254107,0.435419191137002,140,,
700,0.44,0.2,253225,1.752715244997649,170,,
700,0.44,0.2,260241,0.41029578710620307,140,,
700,0.44,0.2,257171,0.7272841489755837,140,,
700,0.44,0.2,259499,0.8161718989183074,140,,
700,0.44,0.2,259468,0.42768429519482287,140,,
700,0.44,0.2,251657,1.9146102981884237,170,,
700,0.44,0.2,255452,1.7037472435234118,170,,
700,0.44,0.2,255878,0.5192904021266417,140,,
700,0.44,0.2,256820,0.8916134717114375,140,,
700,0.44,0.2,255873,0.7768487383422067,140,,
700,0.44,0.2,259819,0.9112036424755003,140,,
700,0.44,0.2,257826,0.5761131309529676,140,,
700,0.44,0.2,259793,0.3966346018118384,140,,
700,0.44,0.2,256938,0.9630818439349413,140,,
700,0.44,0.2,259557,0.7401962991293984,140,,
700,0.44,0.2,256619,0.6379471084873611,140,,
700,0.44,0.2,255840,1.7089672363539576,170,,
700,0.44,0.2,254620,1.760154112746283,170,,
700,0.44,0.2,258160,0.7455468442443796,140,,
700,0.44,0.2,260623,0.6922973924964959,140,,
700,0.44,0.2,258075,0.7789192082400365,140,,
700,0.44,0.2,256938,0.8503002685052213,140,,
700,0.44,0.2,259564,0.4570741086401835,140,,
700,0.44,0.2,259248,0.9452129393243881,140,,
700,0.44,0.2,256311,0.7252085477614227,140,,
700,0.44,0.2,256302,0.8784839703947138,140,,
700,0.44,0.2,257877,0.6003937923545946,140,,
700,0.44,0.2,257765,0.39273533354570933,140,"256834,46","146,8"
700,0.44,0.30000000000000004,30489,0.4075461578258879,140,,
700,0.44,0.30000000000000004,30340,0.6366997200798703,140,,
700,0.44,0.30000000000000004,30413,0.5211060365713983,140,,
700,0.44,0.30000000000000004,30140,1.8451521705678562,170,,
700,0.44,0.30000000000000004,30406,0.9829792815219295,140,,
700,0.44,0.30000000000000004,30162,1.9218481688657492,170,,
700,0.44,0.30000000000000004,30492,0.819498598193515,140,,
700,0.44,0.30000000000000004,30229,0.9114501343804801,140,,
700,0.44,0.30000000000000004,30354,0.6300209595583907,140,,
700,0.44,0.30000000000000004,30380,1.7413694838019473,170,,
700,0.44,0.30000000000000004,30531,0.29349310145902974,140,,
700,0.44,0.30000000000000004,30390,0.338259466802181,140,,
700,0.44,0.30000000000000004,30472,0.18413510362820673,140,,
700,0.44,0.30000000000000004,30343,0.7290055687341638,140,,
700,0.44,0.30000000000000004,30303,0.8082309050692154,140,,
700,0.44,0.30000000000000004,30314,0.8095023093537138,140,,
700,0.44,0.30000000000000004,30287,0.0750130730881069,140,,
700,0.44,0.30000000000000004,30279,0.801531779550392,140,,
700,0.44,0.30000000000000004,29869,1.8446829531194706,170,,
700,0.44,0.30000000000000004,30472,0.9604582266606814,140,,
700,0.44,0.30000000000000004,30373,0.8394103189218164,140,,
700,0.44,0.30000000000000004,30282,0.9893759614057905,140,,
700,0.44,0.30000000000000004,30260,1.7550773614015522,170,,
700,0.44,0.30000000000000004,30387,0.356083505692095,140,,
700,0.44,0.30000000000000004,30455,0.6116301332196077,140,,
700,0.44,0.30000000000000004,30008,1.8506818295553336,170,,
700,0.44,0.30000000000000004,30322,0.7176510674790513,140,,
700,0.44,0.30000000000000004,30441,0.9001423335037291,140,,
700,0.44,0.30000000000000004,30121,0.6264401956395629,140,,
700,0.44,0.30000000000000004,30445,0.6759399874959054,140,,
700,0.44,0.30000000000000004,30439,0.7774423168262364,140,,
700,0.44,0.30000000000000004,30357,0.7632796853872666,140,,
700,0.44,0.30000000000000004,30264,1.8827721703724458,170,,
700,0.44,0.30000000000000004,30309,1.7686498968542295,170,,
700,0.44,0.30000000000000004,30364,0.9251770343264946,140,,
700,0.44,0.30000000000000004,30264,1.8522605264953582,170,,
700,0.44,0.30000000000000004,30047,1.7210981043381994,170,,
700,0.44,0.30000000000000004,30247,1.7554210482347667,170,,
700,0.44,0.30000000000000004,30411,0.4756273444896403,140,,
700,0.44,0.30000000000000004,30495,0.9765524272557177,140,,
700,0.44,0.30000000000000004,30392,0.8685048330560364,140,,
700,0.44,0.30000000000000004,30434,0.8732504359953661,140,,
700,0.44,0.30000000000000004,30046,1.80946625290808,170,,
700,0.44,0.30000000000000004,30209,1.8054884140687628,170,,
700,0.44,0.30000000000000004,30185,1.7286906993852795,170,,
700,0.44,0.30000000000000004,30252,1.7348077861132674,170,,
700,0.44,0.30000000000000004,30302,0.6620595417341957,140,,
700,0.44,0.30000000000000004,30238,1.724107076998743,170,,
700,0.44,0.30000000000000004,30447,0.7924696870130964,140,,
700,0.44,0.30000000000000004,29991,1.8411544448661967,170,,
700,0.44,0.30000000000000004,30461,0.33091981985479746,140,,
700,0.44,0.30000000000000004,30009,1.7988219895491924,170,,
700,0.44,0.30000000000000004,30288,0.9551853722635899,140,,
700,0.44,0.30000000000000004,30246,1.8325121397034554,170,,
700,0.44,0.30000000000000004,30344,0.5769131104768481,140,,
700,0.44,0.30000000000000004,30462,0.6173339482597882,140,,
700,0.44,0.30000000000000004,30274,0.8162935054649727,140,,
700,0.44,0.30000000000000004,30142,1.762529708153434,170,,
700,0.44,0.30000000000000004,30419,0.5058719411795537,140,,
700,0.44,0.30000000000000004,30441,0.9702534291119966,140,,
700,0.44,0.30000000000000004,30170,1.730215697909327,170,,
700,0.44,0.30000000000000004,30007,1.812966181864111,170,,
700,0.44,0.30000000000000004,30164,0.7899809172294138,140,,
700,0.44,0.30000000000000004,30293,0.773844502439318,140,,
700,0.44,0.30000000000000004,30301,0.3033627951037622,140,,
700,0.44,0.30000000000000004,30428,0.5832571548756915,140,,
700,0.44,0.30000000000000004,30368,0.8395986239436696,140,,
700,0.44,0.30000000000000004,30316,0.9979788967785561,140,,
700,0.44,0.30000000000000004,30469,0.9608284810165943,140,,
700,0.44,0.30000000000000004,30255,0.9760715314405634,140,,
700,0.44,0.30000000000000004,30343,0.9936405531355283,140,,
700,0.44,0.30000000000000004,29866,0.5717160145797914,140,,
700,0.44,0.30000000000000004,30458,0.9890463047947035,140,,
700,0.44,0.30000000000000004,30296,1.7366902034708973,170,,
700,0.44,0.30000000000000004,30005,1.8517480236961172,170,,
700,0.44,0.30000000000000004,30106,1.7832295591616878,170,,
700,0.44,0.30000000000000004,30006,1.8903581174597233,170,,
700,0.44,0.30000000000000004,30410,0.7323225346072427,140,,
700,0.44,0.30000000000000004,30345,0.7294489283216594,140,,
700,0.44,0.30000000000000004,30387,0.8157640462678135,140,,
700,0.44,0.30000000000000004,30406,0.8278396175777906,140,,
700,0.44,0.30000000000000004,29695,1.8976017816330362,170,,
700,0.44,0.30000000000000004,30517,0.7348745525890598,140,,
700,0.44,0.30000000000000004,30423,0.47563490209347037,140,,
700,0.44,0.30000000000000004,30067,1.7709445019724304,170,,
700,0.44,0.30000000000000004,30505,0.38939124900236033,140,,
700,0.44,0.30000000000000004,30038,1.7114055286712118,170,,
700,0.44,0.30000000000000004,30470,0.970905800793676,140,,
700,0.44,0.30000000000000004,30222,1.820493136328207,170,,
700,0.44,0.30000000000000004,30085,1.7873240478311812,170,,
700,0.44,0.30000000000000004,30041,0.44119757219485267,140,,
700,0.44,0.30000000000000004,30467,0.6820677036391735,140,,
700,0.44,0.30000000000000004,30063,1.7654847273556462,170,,
700,0.44,0.30000000000000004,30360,0.7991308490232968,140,,
700,0.44,0.30000000000000004,30440,0.6336798160341702,140,,
700,0.44,0.30000000000000004,30303,0.6770900519907298,140,,
700,0.44,0.30000000000000004,30500,0.8937731847500943,140,,
700,0.44,0.30000000000000004,30365,1.7171106058720924,170,,
700,0.44,0.30000000000000004,30468,0.6072066659780256,140,,
700,0.44,0.30000000000000004,30421,0.8936411932991967,140,"30293,87","149,9"
700,0.44,0.4,3735,0.5636987538500889,140,,
700,0.44,0.4,3719,0.297429564898255,140,,
700,0.44,0.4,3751,1.7832180080636306,170,,
700,0.44,0.4,3716,0.4152597446393661,140,,
700,0.44,0.4,3728,0.5556238936021344,140,,
700,0.44,0.4,3736,0.969795538750591,140,,
700,0.44,0.4,3711,0.8110555982656988,140,,
700,0.44,0.4,3724,0.9482161973688688,140,,
700,0.44,0.4,3726,0.5759451586585286,140,,
700,0.44,0.4,3732,0.7716936874617283,140,,
700,0.44,0.4,3714,0.284172765152673,140,,
700,0.44,0.4,3721,0.33769413973441054,140,,
700,0.44,0.4,3736,0.8715982965707426,140,,
700,0.44,0.4,3728,0.8995034698666513,140,,
700,0.44,0.4,3723,0.5169026738469018,140,,
700,0.44,0.4,3754,1.7817284664610091,170,,
700,0.44,0.4,3715,0.4937644812565547,140,,
700,0.44,0.4,3726,0.6474723905209423,140,,
700,0.44,0.4,3724,0.7232513774160078,140,,
700,0.44,0.4,3747,1.8054254354515367,170,,
700,0.44,0.4,3728,0.5120410597266661,140,,
700,0.44,0.4,3720,0.557063033169829,140,,
700,0.44,0.4,3746,1.7829182126630287,170,,
700,0.44,0.4,3731,0.9023023480103104,140,,
700,0.44,0.4,3717,0.23779952629236933,140,,
700,0.44,0.4,3748,1.8316285077747918,170,,
700,0.44,0.4,3734,0.8404501228972328,140,,
700,0.44,0.4,3719,0.4148843774966652,140,,
700,0.44,0.4,3756,1.718711511341415,170,,
700,0.44,0.4,3730,0.6471327371552174,140,,
700,0.44,0.4,3712,0.7954269890301775,140,,
700,0.44,0.4,3700,0.583623381501631,140,,
700,0.44,0.4,3729,0.6470617982450609,140,,
700,0.44,0.4,3734,0.6676592413580053,140,,
700,0.44,0.4,3724,0.815448666878988,140,,
700,0.44,0.4,3713,0.9349404855052281,140,,
700,0.44,0.4,3751,1.8722752551312651,170,,
700,0.44,0.4,3754,1.8310150539310865,170,,
700,0.44,0.4,3711,0.5114799847086158,140,,
700,0.44,0.4,3727,0.8722856249672655,140,,
700,0.44,0.4,3747,1.8560222137980635,170,,
700,0.44,0.4,3737,0.698299694810285,140,,
700,0.44,0.4,3727,0.7562588089732227,140,,
700,0.44,0.4,3716,0.4552311549971241,140,,
700,0.44,0.4,3720,0.8395942838099437,140,,
700,0.44,0.4,3730,0.8733793771177373,140,,
700,0.44,0.4,3712,0.4975424305294587,140,,
700,0.44,0.4,3712,0.32818513365092905,140,,
700,0.44,0.4,3713,0.3426490975053359,140,,
700,0.44,0.4,3718,0.8741204124472234,140,,
700,0.44,0.4,3716,0.32465280381125394,140,,
700,0.44,0.4,3716,0.6410881236349866,140,,
700,0.44,0.4,3716,0.20605687303026998,140,,
700,0.44,0.4,3711,0.49744448981299927,140,,
700,0.44,0.4,3719,0.9917700674855886,140,,
700,0.44,0.4,3724,0.9909410997471643,140,,
700,0.44,0.4,3749,1.9032937009194901,170,,
700,0.44,0.4,3735,1.8230564615134321,170,,
700,0.44,0.4,3735,0.7159073850416025,140,,
700,0.44,0.4,3756,1.794848747459549,170,,
700,0.44,0.4,3739,1.7220412253561277,170,,
700,0.44,0.4,3715,0.684078005946618,140,,
700,0.44,0.4,3711,0.5401774232817967,140,,
700,0.44,0.4,3710,0.24889421355625907,140,,
700,0.44,0.4,3719,0.4838349172676255,140,,
700,0.44,0.4,3726,0.9325361256474741,140,,
700,0.44,0.4,3723,0.3831088013693653,140,,
700,0.44,0.4,3735,0.8413481318628817,140,,
700,0.44,0.4,3733,0.7143548979004212,140,,
700,0.44,0.4,3740,0.8235476886231397,140,,
700,0.44,0.4,3738,0.8556584033735014,140,,
700,0.44,0.4,3749,1.8848356609322816,170,,
700,0.44,0.4,3755,1.733744120993984,170,,
700,0.44,0.4,3724,0.36246641161205917,140,,
700,0.44,0.4,3730,0.5763714353850103,140,,
700,0.44,0.4,3745,1.7518957811791123,170,,
700,0.44,0.4,3746,1.8273887055964502,170,,
700,0.44,0.4,3733,0.9904440434068637,140,,
700,0.44,0.4,3740,0.8450774530364874,140,,
700,0.44,0.4,3735,0.7535321424190583,140,,
700,0.44,0.4,3721,0.7981241663473865,140,,
700,0.44,0.4,3740,1.8325929124421614,170,,
700,0.44,0.4,3749,1.7796300431117316,170,,
700,0.44,0.4,3753,1.786784745086198,170,,
700,0.44,0.4,3719,1.7766380554771075,170,,
700,0.44,0.4,3751,1.8569339980853727,170,,
700,0.44,0.4,3725,0.7344030519210142,140,,
700,0.44,0.4,3724,0.419274189447589,140,,
700,0.44,0.4,3729,0.7165779301456664,140,,
700,0.44,0.4,3715,0.7980988348868301,140,,
700,0.44,0.4,3751,1.8467398270689435,170,,
700,0.44,0.4,3711,0.3909806370375848,140,,
700,0.44,0.4,3717,0.8881307075539652,140,,
700,0.44,0.4,3712,0.06546369926055462,140,,
700,0.44,0.4,3737,0.806399660979032,140,,
700,0.44,0.4,3722,0.9671084900641228,140,,
700,0.44,0.4,3735,0.9782711713321282,140,,
700,0.44,0.4,3740,1.7866751560689849,170,,
700,0.44,0.4,3714,0.4478616947612265,140,,
700,0.44,0.4,3737,0.7202694534065646,140,"3729,07","147,2"
700,0.44,0.5,618,1.9542729671493178,170,,
700,0.44,0.5,612,0.6543667092997975,140,,
700,0.44,0.5,618,1.7202150048269718,170,,
700,0.44,0.5,619,1.893180954180128,170,,
700,0.44,0.5,618,0.7431788038491213,140,,
700,0.44,0.5,614,0.900179848854379,140,,
700,0.44,0.5,620,1.7106950317952838,170,,
700,0.44,0.5,618,1.7252828413879213,170,,
700,0.44,0.5,615,0.433032381619299,140,,
700,0.44,0.5,619,1.8390806383969065,170,,
700,0.44,0.5,616,0.2693493098480577,140,,
700,0.44,0.5,613,0.6208578283563343,140,,
700,0.44,0.5,613,0.5779071971828953,140,,
700,0.44,0.5,616,0.8226156974859753,140,,
700,0.44,0.5,619,1.762385765717616,170,,
700,0.44,0.5,618,1.8599798323496661,170,,
700,0.44,0.5,614,0.5562945685440979,140,,
700,0.44,0.5,618,1.7807859047893861,170,,
700,0.44,0.5,615,0.6488549004383708,140,,
700,0.44,0.5,618,0.995442270744049,140,,
700,0.44,0.5,615,0.8391752830003009,140,,
700,0.44,0.5,615,0.37065632482771405,140,,
700,0.44,0.5,618,1.817695034773892,170,,
700,0.44,0.5,619,1.7172002051898414,170,,
700,0.44,0.5,616,0.8927749690926196,140,,
700,0.44,0.5,613,0.5875024492227104,140,,
700,0.44,0.5,616,0.15399607600235965,140,,
700,0.44,0.5,615,0.9383614765064118,140,,
700,0.44,0.5,615,0.8255376107628842,140,,
700,0.44,0.5,615,0.893843811048861,140,,
700,0.44,0.5,620,1.7144868333382357,170,,
700,0.44,0.5,616,0.4772780824910634,140,,
700,0.44,0.5,615,0.40756011084632426,140,,
700,0.44,0.5,612,0.9040094086401266,140,,
700,0.44,0.5,614,0.30114919787184813,140,,
700,0.44,0.5,613,0.6960949587820625,140,,
700,0.44,0.5,620,1.7531534348829803,170,,
700,0.44,0.5,613,0.6852975831905622,140,,
700,0.44,0.5,619,1.7907585579897063,170,,
700,0.44,0.5,613,0.6550747849692714,140,,
700,0.44,0.5,614,0.5743083178496177,140,,
700,0.44,0.5,616,0.6942823056057545,140,,
700,0.44,0.5,615,0.7942795384784936,140,,
700,0.44,0.5,620,1.8000324750143633,170,,
700,0.44,0.5,619,1.7799423636559415,170,,
700,0.44,0.5,614,0.4252063594576143,140,,
700,0.44,0.5,608,0.7404366102953377,140,,
700,0.44,0.5,612,0.25399261184485045,140,,
700,0.44,0.5,615,0.8690939555399492,140,,
